Model,CV Accuracy,Accuracy,Precision,Recall,F1
Logistic,0.9983325162793116,0.9659670601953068,0.9677915916405204,0.9659670601953068,0.9660393682901365
KNN,0.9996438767502269,0.998093086527717,0.9980998317345664,0.998093086527717,0.9980934192473269
DecisionTree,0.9986174098940965,0.9461327308944274,0.9514815734178133,0.9461327308944274,0.9462709132910901
RandomForest,0.9998407915438496,0.993246854200068,0.99334142673438,0.993246854200068,0.9932510839917866
SVM_RBF,0.9998826886445704,0.9985060486809503,0.9985079027249909,0.9985060486809503,0.9985061829085379
NaiveBayes,0.8587498197225804,0.8122236797357042,0.8224325843416086,0.8122236797357042,0.8125801733722396
